Date,pH,EC,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,SO42_mgL,Cl_mgL
7/13/17,3.69,1151,0.5,160.4,3.463,8.342,62.9,11.09,9.079,655.4828,4.6422
7/13/17,3.78,1156,1.04,162.5,3.624,8.554,64.04,11.55,9.289,655.8687,4.2711
7/13/17,3.67,1157,1.148,161.5,3.029,8.249,63.05,11.65,8.98,645.8374,4.2627
7/13/17,3.63,1166,1.167,159.7,3.525,8.022,63.25,11.85,8.877,684.9042,4.3439
7/13/17,3.59,1175,1.306,164.9,3.823,8.128,65.29,12.43,9.045,652.132,4.2769
7/13/17,3.52,1185,1.273,164.8,4.18,7.97,64.6,12.53,9,704.5309,4.1517
7/13/17,3.46,1193,1.324,160.8,4.179,8.068,64.6,12.86,9.098,687.3864,4.386
7/13/17,3.36,1199,1.351,159.1,4.756,7.943,62.94,13.13,9.088,625.4232,4.5735
7/13/17,3.36,1211,1.41,157.9,5.012,8.035,63.72,13.49,9.131,669.9998,4.576
6/1/17,6.23,1454,0.5,230.7,0.5,6.269,89.15,11.37,8.79,847.1476,5.3793
6/2/17,6.18,1514,0.5,252.8,0.5,6.655,96.66,13.02,9.14,871.7638,3.5563
6/3/17,6.15,1512,0.5,261,0.5,6.59,99.6,13.23,9.181,883.6022,3.2821
6/4/17,6.42,1576,0.5,262.8,0.5,6.655,102.8,13.68,9.193,948.3341,3.0935
6/5/17,3.82,1512,0.5,249.1,0.5,6.409,95.37,12.29,8.608,840.3724,3.1138
6/6/17,6.09,1454,0.5,248.4,0.5,6.379,95.99,11.65,8.554,852.4732,3.1723
8/25/17,3.16,1725,2.559,239.5,4.618,7.021,102.5,19.47,8.416,NA,NA
8/28/17,3.1,1819,2.543,237,4.975,6.303,102.5,21.8,8.105,NA,NA
9/12/17,2.87,1907,2.838,230.3,7.428,5.709,108.5,23.67,8.003,1192.4176,6.8416
9/15/17,2.87,1942,2.771,235.2,6.41,6.051,108.1,24.83,8.295,1051.3962,4.616
9/18/17,2.83,1953,2.869,236.3,5.284,6.047,109.1,24.96,8.04,1059.1193,4.9488
9/21/17,2.79,2011,3.345,230.5,6.42,6.836,109.4,28.6,8.997,1070.953,5.491
9/29/17,2.8,2028,3.631,279.9,10.62,6.946,124.7,32.54,9.892,1128.3283,4.6707
10/1/17,2.83,2022,3.543,279,10.96,7.335,126.4,33.37,10.19,1120.4466,5.1335
10/3/17,2.83,2032,3.385,276.2,9.133,6.71,126.5,31.84,9.486,1118.5512,4.9695
10/5/17,2.89,1858,3.468,269.2,8.515,7.869,121.8,27.7,8.979,990.1198,5.1353
10/8/17,2.92,1899,2.983,225.9,7.391,8.182,98.35,26.96,8.291,1043.5819,6.3413
10/8/17,2.87,1914,2.953,227.7,9.694,7.654,102,28.18,8.722,1034.8585,6.2472
10/8/17,2.88,1851,2.911,223.7,8.659,7.661,98.33,27.17,8.615,1018.8543,6.21
10/8/17,2.98,1666,2.739,206.4,7.985,7.749,92.75,26.32,8.665,863.0456,5.8386
10/9/17,3.22,1181,2.341,171.4,4.163,8.382,74.28,21.46,7.768,577.6868,NA
10/9/17,3.2,1231,1.849,125.6,1.768,7.872,54.72,15.42,5.638,623.8979,4.328
10/9/17,3.23,1344,2.097,144.6,3.737,8.858,62.53,16.83,6.253,715.7849,5.5948
10/9/17,3.37,1331,1.817,163.4,2.488,8.931,70.95,16.11,6.774,715.2925,5.128
10/9/17,3.42,1460,1.632,178,1.706,8.861,75.54,14.93,6.698,823.7494,NA
10/9/17,3.4,1536,1.606,207.4,1.691,8.859,85.36,15.65,7.395,879.223,4.883
10/9/17,3.34,1559,1.695,212.4,2.173,8.582,90.3,16.39,7.528,876.8849,NA
10/9/17,3.29,1576,1.884,213.5,2.743,8.549,90.45,16.96,7.469,902.679,NA
10/11/17,2.95,1701,2.192,210,4.655,7.137,89.54,19.74,7.63,949.3677,5.7695
10/11/17,2.89,1719,2.619,204.3,8.249,7.049,90.51,24.44,8.028,950.259,4.7476
10/11/17,2.91,1741,2.628,204.5,8.527,6.893,90.71,25.04,8.154,1291.543,4.9366
10/11/17,2.96,1611,2.538,200.2,9.651,6.776,89.22,24.35,8.08,895.9803,4.7298
10/11/17,2.96,1678,2.426,189.2,9.465,6.84,84.3,22.74,7.77,907.3518,4.7471
10/11/17,2.95,1649,2.528,194.9,8.612,7.036,87.93,23.88,7.808,908.6478,4.8435
10/11/17,2.96,1669,2.504,195.7,9.034,7.084,87.22,22.81,7.837,920.6755,5.2298
10/11/17,2.96,1697,2.557,201,8.978,7.248,89.43,23.15,8.024,954.7222,4.9829
10/11/17,2.94,1702,2.515,198.3,9.148,7.151,86.75,23.47,8.298,925.5076,4.4334
10/11/17,2.95,1704,2.541,200.2,9.34,7.121,88.98,23.77,7.942,944.9055,4.8385
10/11/17,2.94,1683,2.452,206,9.341,6.883,91.7,23.85,7.938,955.8175,4.6584
10/11/17,2.93,1695,2.491,203.7,8.846,6.861,88.48,23.24,7.705,967.1515,5.0497
10/14/17,2.86,1881,2.852,211.8,8.036,7.011,95.5,25.13,8.589,996.5037,5.812
10/15/17,2.86,1925,3.065,224.2,8.346,6.988,101.4,28.01,9.13,1010.8498,5.8502
10/16/17,2.87,1866,3.018,221.4,9.632,7.116,100.2,26.61,8.677,997.0916,5.7274
10/17/17,2.89,1888,3.015,222.2,10.51,6.862,99.22,25.86,8.574,1001.2515,5.4481
10/18/17,2.92,1901,3.462,228.4,11.33,7.577,101.1,30.49,8.952,948.2606,5.5789
10/19/17,2.94,1909,3.702,223.9,8.998,7.743,101.9,31.53,10.26,1136.3888,5.5716
10/20/17,2.89,1936,3.588,229.1,11.54,7.604,103,30.8,10.35,1111.4723,5.6805
6/14/17,4.18,1692,0.5,279,4.22,8.514,111,16.02,11.37,1477.3051,3.5919
6/14/17,4.16,1692,0.5,280.6,1.394,8.57,111.1,15.86,11.29,1155.8999,4.2865
6/14/17,4.24,1673,0.5,282.4,2.351,8.495,109.3,15.52,11.22,1108.5639,3.8295
6/14/17,3.88,1726,0.5,282,2.911,8.577,111.2,15.85,11.4,1028.591,4.5155
6/14/17,4.15,1698,1.045,282.7,1.689,8.791,112.4,16.56,11.44,1064.2695,3.7369
6/14/17,3.81,1692,1.277,283.1,2.739,8.868,111.7,17.3,11.68,1143.8923,3.4051
6/14/17,3.72,1685,1.523,276.3,1.697,8.59,109.3,17.16,11.55,1026.6298,3.3893
6/14/17,3.65,1689,1.846,270.8,2.399,8.719,108.9,17.14,11.51,1160.3906,4.323
6/14/17,3.61,1718,1.638,272.1,5.399,8.687,108.5,17.04,11.34,1008.2547,3.928
6/14/17,3.59,1941,1.507,264.5,5.334,8.276,105.2,16.38,10.95,1233.3026,74.3685
6/14/17,3.58,1734,1.392,269.9,3.113,8.257,107.7,16.64,10.91,971.0274,12.3674
6/14/17,3.61,1718,1.14,270.1,0.5,8.01,108.5,15.01,10.36,1030.1792,4.7074
10/22/17,2.83,1952,3.445,238,9.74,6.723,106.9,31.09,9.374,1111.2362,4.4602
10/23/17,2.83,1943,3.393,243,11,6.699,108.1,31.51,9.247,1098.2206,3.8532
10/24/17,2.89,1717,3.266,228.8,12.15,7.059,102.2,29.09,9,933.8808,4.6762
10/25/17,2.94,1695,3.062,202,10.66,7.686,89.81,26.69,8.658,908.8318,4.3414
10/26/17,2.93,1747,3.098,209.8,8.72,6.998,92.42,26.74,8.373,934.3323,4.8922
10/27/17,2.91,1797,3.156,217,13.69,6.868,97.48,27.75,8.62,1003.3971,4.2673
10/28/17,2.91,1821,3.252,219.6,10.86,6.803,99.48,28.49,8.552,1243.6089,4.5774
10/29/17,2.94,1806,3.407,221.4,12.72,7.21,102.5,29.19,8.997,1018.8571,5.6635
10/30/17,2.94,1823,3.265,224.5,12.42,6.807,101.8,29.18,8.856,1042.5182,4.7957
11/15/17,3.13,1428,3.276,203.3,8.532,6.614,92.19,25.95,8.51,807.8926,5.3059
11/15/17,3.23,1272,2.494,152.1,5.975,5.942,68.61,19.57,7.401,667.3185,5.4194
11/15/17,3.19,1256,2.372,143.7,4.804,5.658,64.99,18.28,7.017,687.6305,4.7624
11/15/17,3.19,1245,2.376,142.7,5.528,5.595,64.36,18.13,7.031,639.0436,4.4548
11/15/17,3.19,1244,2.33,140.1,5.298,5.45,64.38,17.62,6.982,660.5794,5.1466
11/15/17,3.19,1236,2.328,137.6,5.277,5.49,63.32,17.7,7.031,753.8204,5.6673
11/15/17,3.25,1259,2.287,138.9,4.939,5.579,64.31,17.58,7.156,669.9542,5.0704
11/15/17,3.24,1250,2.347,141.8,5.261,5.568,65.45,17.76,7.119,653.4982,4.7528
11/16/17,3.21,1262,2.326,140.9,5.031,5.452,66.54,17.73,7.033,693.0782,5.2965
11/16/17,3.24,1266,2.31,143.3,4.985,5.45,64.41,17.83,7.005,638.5984,5.1004
11/16/17,3.23,1269,2.404,145.1,5.337,5.538,67.77,18.23,7.226,701.9765,4.8675
11/16/17,3.2,1290,2.377,142.9,5.188,5.481,66.22,17.91,6.921,690.6591,5.0609
4/5/17,6.43,878,0.5,121.5,0.5,4.855,46.72,4.977,8.59,672.6363,NA
7/3/17,3.46,1198,1.918,224.5,7.836,7.649,94.12,19.49,9.916,812.5098,NA
6/20/17,4,1460,1.088,226,4.864,8.213,92.45,15.02,9.963,951.4666,NA
4/13/17,6.34,491,0.5,179.4,1.67,6.055,72.14,8.422,9.13,908.03,NA
4/19/17,5.96,693,0.5,239.3,1.67,6.055,95.81,8.422,9.13,925.3673,NA
6/13/17,4.81,1566,0.5,260.8,2.381,8.034,102.7,15.11,11.16,850.7959,NA
8/25/17,3.19,980,2.332,230.9,11.5,6.059,98.41,21.93,7.96,931.1219,NA
9/5/17,3.41,1408,1.635,238.5,7.462,12.36,99.11,18.32,15.04,916.1923,NA
9/29/17,2.87,1814,2.764,243.9,15.03,6.545,114.9,29.6,8.768,1202.9335,NA
3/27/17,5.64,1545,0.5,217.3,2.217,6.283,87.62,14.8,8.104,NA,NA
4/1/17,3.49,673,0.5,81.92,1.889,4.265,35.25,5.456,6.75,623.7186,NA
4/26/17,5.17,1524,0.5,245.5,0.5,6.63,95.56,10.88,13.09,863.3589,NA
5/19/17,6.82,948,0.5,161.4,2.124,4.959,59.01,5.752,12.83,525.4238,NA
5/26/17,NA,1360,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/17,5.32,1482,0.5,237.9,4.206,6.243,93.92,14.38,8.56,916.307,NA
7/7/17,NA,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/17,NA,972,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/20/17,2.95,1802,0.5,246.5,16.25,7.726,112.2,31.28,9.797,1102.9758,NA
11/3/17,3.15,1356,2.547,177.2,6.663,7.372,80.51,19.52,7.496,708.0373,NA
